# sbprofile_multiband.py arguments:
#  bin = 1
#  exposuremap = /home/jsanders/data2/chandra/spt/SPT-CLJ0000-5748/expmap_total_masked_1000_1250.fits.gz
#  inimage = /home/jsanders/data2/chandra/spt/SPT-CLJ0000-5748/total_img_1000_1250.fits.gz
#  mask = None
#  outprofile = /home/jsanders/chandra/spt/sb-ccen/SPT-CLJ0000-5748/total_fg_prof_1000_1250.dat
#  oversample = 1
#  rmax = 2080
#  xc = 666.0
#  yc = 688.0
# rcentre(amin) rhalfwidth(amin) counts area(amin2) exposure sb
0.7257 0.0041 0.0 0.03523376 26981.3738341 0.0
0.7339 0.0041 1.0 0.040344 26981.7756184 0.000918650928861
0.7421 0.0041 0.0 0.03711648 27138.6805287 0.0
0.7503 0.0041 1.0 0.03873024 27210.5116039 0.000948883958087
0.7585 0.0041 0.0 0.0389992 27208.9785623 0.0
0.7667 0.0041 1.0 0.03926816 27310.3944039 0.000932462716541
0.7749 0.0041 2.0 0.04088192 27233.1215312 0.00179639272447
0.7831 0.0041 0.0 0.0389992 27247.5741716 0.0
0.7913 0.0041 1.0 0.040344 27227.6145868 0.000910356401409
0.7995 0.0041 4.0 0.04249568 27221.4760229 0.00345782920567
0.8077 0.0041 2.0 0.04088192 27325.0963127 0.00179034616469
0.8159 0.0041 0.0 0.04323532 27336.4031295 0.0
0.8241 0.0041 1.0 0.04054572 27469.4807737 0.000897851541466
0.8323 0.0041 1.0 0.04397496 27465.7610069 0.00082794771172
0.8405 0.0041 0.0 0.0423612 27526.4419414 0.0
0.8487 0.0041 0.0 0.0410164 27600.5434726 0.0
0.8569 0.0041 2.0 0.0443784 27580.7000971 0.00163400382724
0.8651 0.0041 0.0 0.04249568 27719.3618679 0.0
0.8733 0.0041 0.0 0.04619388 27614.4609537 0.0
0.8815 0.0041 1.0 0.0450508 27710.2631832 0.000801044867152
0.8897 0.0041 0.0 0.04464736 27702.5680124 0.0
0.8979 0.0041 1.0 0.04599216 27705.6136549 0.000784780891019
0.9061 0.0041 0.0 0.04626112 27752.6526246 0.0
0.9143 0.0041 1.0 0.0484128 27700.6857194 0.00074567447792
0.9225 0.0041 1.0 0.047068 27754.4328363 0.000765494189097
0.9307 0.0041 0.0 0.04787488 27661.5909265 0.0
0.9389 0.0041 0.0 0.05002656 27709.5812109 0.0
0.9471 0.0041 0.0 0.0484128 27675.1744661 0.0
0.9553 0.0041 0.0 0.04814384 27706.2562056 0.0
0.9635 0.0041 2.0 0.04948864 27796.4369188 0.00145390271328
0.9717 0.0041 3.0 0.05056448 27853.8605279 0.00213005252444
0.9799 0.0041 0.0 0.05083344 27879.9422349 0.0
0.9881 0.0041 0.0 0.05056448 27953.2772819 0.0
0.9963 0.0041 0.0 0.04948864 27994.8934532 0.0
1.0045 0.0041 1.0 0.05190928 28068.6955388 0.000686329656276
1.0127 0.0041 0.0 0.05540576 28038.1578998 0.0
1.0209 0.0041 0.0 0.05056448 28116.8007016 0.0
1.0291 0.0041 0.0 0.05432992 28083.2502341 0.0
1.0373 0.0041 1.0 0.05083344 28163.9405252 0.000698484995406
1.0455 0.0041 0.0 0.05486784 28150.1541599 0.0
1.0537 0.0041 0.0 0.05540576 28161.3210684 0.0
1.0619 0.0041 0.0 0.05298512 28249.783734 0.0
1.0701 0.0041 0.0 0.0564816 28189.3849989 0.0
1.0783 0.0041 0.0 0.05432992 28259.6089032 0.0
1.0865 0.0041 0.0 0.05809536 28234.2936138 0.0
1.0947 0.0041 1.0 0.05675056 28276.0138685 0.000623177353621
1.1029 0.0041 1.0 0.053792 28325.8158566 0.000656296186481
1.1111 0.0041 0.0 0.0591712 28285.1443274 0.0
1.1193 0.0041 2.0 0.05728848 28328.1696747 0.00123237869319
1.1275 0.0041 0.0 0.05863328 28323.428565 0.0
1.1357 0.0041 2.0 0.05809536 28352.6250508 0.00121421410568
1.1439 0.0041 1.0 0.05728848 28393.400821 0.000614773709996
1.1521 0.0041 0.0 0.06132288 28339.9872047 0.0
1.1603 0.0041 1.0 0.05863328 28409.188751 0.000600339581384
1.1685 0.0041 2.0 0.06024704 28393.5213801 0.00116916289489
1.1767 0.0041 1.0 0.060516 28415.4424093 0.000581534337964
1.1849 0.0041 1.0 0.06132288 28416.7094133 0.000573856982897
